"Species"	"Body"	"Brain"
"Nanger_granti"	10.6090572530946	5.00172908462526
"Antilope_cervicapra"	10.268130666124	4.70772677431318
"Antidorcas_marsupialis"	10.5055605686967	4.90527477843843
"Litocranius_walleri"	10.5903651200825	4.76643833358421
"Ourebia_ourebi"	9.58994051388929	4.06560209335645
"Capreolus_capreolus"	9.76835487854463	4.52936847257181
"Hydropotes_inermis"	9.64212278840172	3.91860132078827
"Odocoileus_hemionus"	10.9851232169971	5.24333305821528
"Odocoileus_virginianus"	10.5966347330961	5.07517381523383
"Pudu_puda"	9.17394813491031	4.14313472639153
"Rangifer_tarandus"	11.574584845357	5.70044357339069
"Alces_alces"	12.5141454076297	6.00758392898787
"Muntiacus_reevesi"	9.5104405199722	4.2509208692642
"Muntiacus_muntjak"	9.71715797434464	4.82430571590476
"Axis_porcinus"	10.3089526606443	4.95582705760126
"Axis_axis"	11.3901926995879	5.3890717298165
"Cervus_elaphus"	11.6967209350202	5.93806377038087
"Cervus_nippon"	9.90847509404717	5.06259503302697
"Rusa_unicolor"	11.9953516142145	5.87211778947542
"Dama_dama"	10.5239296226254	5.41387570718231
"Antilocapra_americana"	10.7525695347168	4.8331022540341
"Giraffa_camelopardalis"	13.6267684333674	6.51958966795203
"Moschiola_meminna"	7.63588342843733	2.83085763036376
"Tragulus_javanicus"	7.61923341622681	2.76000994003292
"Tragulus_napu"	7.85941315469358	2.91235066461494
"Hyemoschus_aquaticus"	9.28730141311231	3.22684399451738
"Delphinapterus_leucas"	13.3629538423223	7.64156444126097
